"File","Size","CSSLength","HasRoot","HasRTL","HasColors","HasFont"
".next_backup_20260907-103310\dev\static\chunks\[next]_internal_font_google_geist_a71539c9_module_css_1igg3k2._.single.css","2161","0","False","False","False","False"
".next_backup_20260907-103310\dev\static\chunks\[next]_internal_font_google_geist_mono_8d43a2aa_module_css_1igg3k2._.single.css","2498","0","False","False","False","False"
".next_backup_20260907-103310\dev\static\chunks\[root-of-the-server]__0cbk-n2._.css","5318","0","False","False","False","False"
".next_backup_20260907-103310\dev\static\chunks\app_globals_css_1igg3k2._.single.css","871","871","True","False","True","True"
".next_backup_20260907-103310\static\chunks\3n8-9sbopjxwd.css","4311","4311","True","False","True","True"
".phase-snapshots\v6.34.0-20260911-093846\app\globals.css","697","697","True","False","True","True"
".phase-snapshots\v6.34.0-20260911-094043\app\globals.css","697","697","True","False","True","True"
".phase-snapshots\v6.34.0-20260911-094741\app\globals.css","697","697","True","False","True","True"
"app\globals.css","1687","1687","True","False","True","True"
"app\page.module.css","2612","2612","False","False","True","True"
"styles\brand.css","301","301","True","False","True","False"
"styles\colors.css","164","164","True","False","True","False"
"styles\globals.css","1349","1349","False","False","False","False"
"styles\motion.css","112","112","True","False","False","False"
"styles\radius.css","86","86","True","False","False","False"
"styles\shadows.css","140","140","True","False","False","False"
"styles\spacing.css","116","116","True","False","False","False"
"styles\tokens.css","2125","2125","True","False","True","False"
"styles\typography.css","561","561","True","False","False","True"
"styles\components\button.css","431","431","False","False","False","True"
"styles\components\card.css","280","280","False","False","False","False"
"styles\components\input.css","231","231","False","False","True","True"
"styles\components\navigation.css","127","127","False","False","False","False"
"styles\design-system\typography.css","158","158","True","False","False","False"
"styles\homepage\architecture.css","93","93","False","False","False","False"
"styles\homepage\hero.css","220","220","False","False","False","False"
"styles\homepage\intelligence.css","144","144","False","False","False","False"
"styles\homepage\knowledge.css","90","90","False","False","False","False"
"styles\homepage\property.css","89","89","False","False","False","False"
"styles\homepage\sections.css","122","122","False","False","False","False"
"styles\responsive\breakpoints.css","97","97","True","False","False","False"
"styles\responsive\desktop.css","92","92","False","False","False","False"
"styles\responsive\mobile.css","295","295","False","False","False","False"
"styles\responsive\tablet.css","114","114","False","False","False","False"
"styles\theme\index.css","60","60","False","False","False","False"
"styles\theme\tokens.css","60","60","False","False","False","False"
"styles\tokens\experience.tokens.css","60","60","False","False","False","False"
